Grapheme	Zhou	Baxter
^mĭɛn˥	^m-ĭ-ɛ-n-˥	m-j-e-n-X
^nʑĭe˩	^nʑ-ĭ-e-.-˩	ny-.-e-.-.
^kĭəŋ˥˩	^k-ĭ-ə-ŋ-˥˩	k-.-i-ng-.
^nʑĭĕp	^nʑ-ĭ-ĕ-p-.	ny-.-i-p-.
^dzʰĭwɛn˩	^dzʰ-ĭw-ɛ-n-˩	dz-jw-e-n-.
^lĭaŋ˥	^l-ĭ-a-ŋ-˥	l-j-a-ng-X
^lĭaŋ˩˥	^l-ĭ-a-ŋ-˩˥	l-j-a-ng-H
^pæt	^p-.-æ-t-.	p-.-ɛ-t-.
^kuŋ˥˩	^k-.-u-ŋ-˥˩	k-.-uw-ng-.
^lĭuk	^l-ĭ-u-k-.	l-j-uw-k-.
^ɣiei˩	^ɣ-i-ei-.-˩	h-.-ej-.-.
^pĭɐŋ˥˩	^p-ĭ-ɐ-ŋ-˥˩	p-j-æ-ng-.
^gʰĭə˩	^gʰ-ĭ-ə-.-˩	g-.-i-.-.
^gʰĭu˩˥	^gʰ-ĭ-u-.-˩˥	g-j-u-.-H
^tien˥	^t-i-e-n-˥	t-.-e-n-X
^kiem˥˩	^k-i-e-m-˥˩	k-.-e-m-.
^kiem˩˥	^k-i-e-m-˩˥	k-.-e-m-H
^ki˩˥	^k-.-i-.-˩˥	k-.-ij-.-H
^ţĭwoŋ˥	^ţ-ĭw-o-ŋ-˥	tr-j-ow-ng-X
^tuoŋ˥˩	^t-u-o-ŋ-˥˩	t-.-ow-ng-.
^pĭəŋ˥˩	^p-ĭ-ə-ŋ-˥˩	p-.-i-ng-.
^tuŋ˥˩	^t-.-u-ŋ-˥˩	t-.-uw-ng-.
^tuŋ˩˥	^t-.-u-ŋ-˩˥	t-.-uw-ng-H
^gʰĭĕm˩	^gʰ-ĭ-ĕ-m-˩	l-.-i-m-.
^lĭĕm˥	^l-ĭ-ĕ-m-˥	l-.-i-m-X
^ki˥	^k-.-i-.-˥	k-.-ij-.-X
^bʰĭwɐm˩	^bʰ-ĭw-ɐ-m-˩	b-j-o-m-.
^pʰĭwɐm˥˩	^pʰ-ĭw-ɐ-m-˥˩	ph-j-o-m-.
^xĭwoŋ˥˩	^x-ĭw-o-ŋ-˥˩	x-j-ow-ng-.
^tɑu˥˩	^t-.-ɑu-.-˥˩	t-.-aw-.-.
^pĭuən˥˩	^p-ĭ-uə-n-˥˩	p-j-u-n-.
^bʰĭuən˩˥	^bʰ-ĭ-uə-n-˩˥	b-j-u-n-H
^ɣieŋ˩	^ɣ-i-e-ŋ-˩	h-.-e-ng-.
^ţĭu˥˩	^ţ-ĭ-u-.-˥˩	tr-j-u-.-.
^lĭɛt	^l-ĭ-ɛ-t-.	l-j-e-t-.
^ʧʰĭo˥˩	^ʧʰ-ĭ-o-.-˥˩	tsrh-j-o-.-.
^bʰĭɛt	^bʰ-ĭ-ɛ-t-.	b-j-e-t-.
^pĭɛt	^p-ĭ-ɛ-t-.	p-j-e-t-.
^li˩˥	^l-.-i-.-˩˥	l-.-ij-.-H
^kwat	^k-w-a-t-.	k-w-æ-t-.
^tɑu˩˥	^t-.-ɑu-.-˩˥	t-.-aw-.-H
^tɕĭɛi˩˥	^tɕ-ĭ-ɛi-.-˩˥	tsy-.-ej-.-H
^kieŋ˥	^k-i-e-ŋ-˥	k-.-e-ng-X
^tsək	^ts-.-ə-k-.	ts-.-o-k-.
^dzʰien˩	^dzʰ-i-e-n-˩	dz-.-e-n-.
^kɑŋ˥˩	^k-.-ɑ-ŋ-˥˩	k-.-a-ng-.
^pʰĭəu˩˥	^pʰ-ĭ-əu-.-˩˥	ph-j-uw-.-H
^pʰĭək	^pʰ-ĭ-ə-k-.	ph-.-i-k-.
^kɑt	^k-.-ɑ-t-.	k-.-a-t-.
^ʧʰĭaŋ˥˩	^ʧʰ-ĭ-a-ŋ-˥˩	tsrh-j-a-ng-.
^ʧʰĭaŋ˩˥	^ʧʰ-ĭ-a-ŋ-˩˥	tsrh-j-a-ng-H
^lĭək	^l-ĭ-ə-k-.	l-.-i-k-.
^ka˥˩	^k-.-a-.-˥˩	k-.-æ-.-.
^dʒʰĭo˩˥	^dʒʰ-ĭ-o-.-˩˥	dzr-j-o-.-H
^kĭɐp	^k-ĭ-ɐ-p-.	k-j-æ-p-.
^jĭwoŋ˥	^j-ĭw-o-ŋ-˥	y-.-ow-ng-X
^lək	^l-.-ə-k-.	l-.-o-k-.
^dʰuŋ˥	^dʰ-.-u-ŋ-˥	d-.-uw-ng-X
^lɑu˩	^l-.-ɑu-.-˩	l-.-aw-.-.
^lɑu˩˥	^l-.-ɑu-.-˩˥	l-.-aw-.-H
^tɕĭak	^tɕ-ĭ-a-k-.	tsy-.-a-k-.
^ʑĭak	^ʑ-ĭ-a-k-.	dzy-.-a-k-.
^mĭuət	^m-ĭ-uə-t-.	m-j-u-t-.
^xwa˩˥	^x-w-a-.-˩˥	x-w-æ-.-H
^pək	^p-.-ə-k-.	p-.-o-k-.
^dzʰĭaŋ˩˥	^dzʰ-ĭ-a-ŋ-˩˥	dz-j-a-ng-H
^pĭwəi˥	^p-ĭw-əi-.-˥	p-j-ɨj-.-X
^pʰĭĕt	^pʰ-ĭ-ĕ-t-.	ph-j-i-t-.
^ʔəu˥˩	^ʔ-.-əu-.-˥˩	ʔ-.-uw-.-.
^tsʰien˥˩	^tsʰ-i-e-n-˥˩	tsh-.-e-n-.
^puɑn˩˥	^p-u-ɑ-n-˩˥	p-.-a-n-H
^ţɔk	^ţ-.-ɔ-k-.	tr-.-æw-k-.
^nɒm˩	^n-.-ɒ-m-˩	n-.-o-m-.
^puɑk	^p-u-ɑ-k-.	p-.-a-k-.
^puk	^p-.-u-k-.	p-.-uw-k-.
^tɕĭɛm˩˥	^tɕ-ĭ-ɛ-m-˩˥	tsy-.-e-m-H
