ID	TYPE	CONCEPT	DOCULECT	TOKENS	COGID	FORM	NOTE	ALIGNMENT
208	0 shang	𩛠 (shang)	Baxter	ts jw	104	tsĭuɑ˥	?	ts jw
209	0 xia	㕦 (xia)	Zhou	w a . ˩˥	105	ʔwa˩˥	?	w a . ˩˥
210	0 xia	㕦 (xia)	Baxter	w a . X	105	ʔwa˩˥	?	w a . X
211	0 xia	㾕 (xia)	Zhou	ĭ ĕ m ˥	106	dʒʰĭĕm˥	?	ĭ ĕ m ˥
212	0 xia	㾕 (xia)	Baxter	j !? m .	106	dʒʰĭĕm˥	?	j !? m .
213	0 xia	一 (xia)	Zhou	ĭ ĕ t .	107	ɖʰĭĕt	?	ĭ ĕ t .
214	0 xia	一 (xia)	Baxter	j !? t .	107	ɖʰĭĕt	?	j !? t .
215	0 xia	仙 (xia)	Zhou	ĭ ɛ n ˥˩	108	tsĭɛn˥˩ / dzʰĭɛn˩	?	ĭ ɛ n ˥˩
216	0 xia	仙 (xia)	Baxter	j !? n X	108	tsĭɛn˥˩ / dzʰĭɛn˩	?	j !? n X
217	0 xia	令 (xia)	Zhou	ĭ ɛ ŋ ˩˥	109	xĭɛŋ˩˥	?	ĭ ɛ ŋ ˩˥
218	0 xia	令 (xia)	Baxter	j !? ng .	109	xĭɛŋ˩˥	?	j !? ng .
219	0 xia	伴 (xia)	Zhou	u ɑ n ˥	110	pʰuɑn˥	?	u ɑ n ˥
220	0 xia	伴 (xia)	Baxter	w a n .	110	pʰuɑn˥	?	w a n .
221	0 xia	伽 (xia)	Zhou	ĭ ɑ . ˥˩	111	kʰĭɑ˥˩ / tsʰĭuɑ˥˩ / kĭɑ˥˩	?	ĭ ɑ . ˥˩
222	0 xia	伽 (xia)	Baxter	j a . X	111	kʰĭɑ˥˩ / tsʰĭuɑ˥˩ / kĭɑ˥˩	?	j a . X
223	0 xia	侈 (xia)	Zhou	ĭ e . ˥	112	ţĭe˥	?	ĭ e . ˥
224	0 xia	侈 (xia)	Baxter	j e . .	112	ţĭe˥	?	j e . .
225	0 xia	允 (xia)	Zhou	ĭu ĕ n ˥	113	ɕĭuĕn˥ / nʑĭuĕn˥	?	ĭu ĕ n ˥
226	0 xia	允 (xia)	Baxter	jw !? n .	113	ɕĭuĕn˥ / nʑĭuĕn˥	?	jw !? n .
227	0 xia	兢 (xia)	Zhou	ĭ ə ŋ ˥˩	114	kʰĭəŋ˥˩ / dʒʰĭəŋ˩	?	ĭ ə ŋ ˥˩
228	0 xia	兢 (xia)	Baxter	j !? ng X	114	kʰĭəŋ˥˩ / dʒʰĭəŋ˩	?	j !? ng X
229	0 xia	全 (xia)	Zhou	ĭw ɐ m ˥˩	115	pʰĭwɐm˥˩ / ţĭwɛn˥˩	?	ĭw ɐ m ˥˩
